Adobe After Effects 8.0 Keyframe Data

	Units Per Second	24
	Source Width	640
	Source Height	360
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Transform	Position
	Frame	X pixels	Y pixels
	0	1714.7781	19.085442
	1	65.797005	1011.87036
	2	601.5669	162.80258
	3	1034.1088	984.2916
	4	743.97253	1011.8782
	5	650.90234	22.55122
	6	1354.5515	565.6123
	7	1775.3647	705.92255
	8	23.543816	362.87134
	9	1391.8003	375.86182
	10	794.62555	461.27838
	11	1315.4036	238.4475
	12	1732.4308	339.03357
	13	1364.9106	405.61334
	14	7.4503326	625.36536
	15	1563.5398	949.8882
	16	1644.594	1027.1432
	17	464.92102	821.5479
	18	298.91052	845.0561
	19	1670.9341	906.0709
	20	1170.0576	760.58813
	21	1622.9468	773.37286
	22	1830.497	274.31628
	23	1526.2261	905.1542
	24	535.40906	918.151
	25	1838.654	696.3881
	26	1389.3724	172.31485
	27	1258.7139	691.92883
	28	400.3007	657.1961
	29	1153.3612	1056.7362
	30	619.34827	97.73279
	31	673.28394	352.48166
	32	140.86647	312.5406
	33	1280.499	425.36142
	34	1203.3804	72.33177
	35	1440.659	307.739
	36	825.3532	54.909927
	37	179.1997	664.56836
	38	1912.5625	581.6486
	39	1105.9199	126.092316
	40	1641.6289	679.24524
	41	206.14346	889.6244
	42	1240.9742	828.922
	43	1077.6207	240.73236
	44	850.6148	763.2468
	45	1050.1803	310.15726
	46	370.11325	1000.35095
	47	159.19934	786.50116
	48	1354.0565	460.40643
	49	1883.6093	222.14941
	50	211.01703	235.52728
	51	963.7554	563.99963
	52	1639.4285	989.395
	53	1893.3809	991.1424
	54	936.5547	366.3745
	55	1752.6472	675.3688
	56	79.14059	653.04517
	57	904.8568	600.8106
	58	500.74518	691.17065
	59	1657.73	856.59143
	60	715.58813	565.2787
	61	740.1385	1038.3766
	62	66.33156	447.22202
	63	1686.4346	275.34198
	64	797.9635	823.2013
	65	942.3534	169.38864
	66	1426.2167	916.49756
	67	568.2632	811.34106
	68	931.12317	794.2014
	69	266.65878	1059.19
	70	1208.741	323.02942
	71	20.64869	627.85046
	72	391.17883	1014.25903
	73	288.09998	566.96094
	74	901.1582	779.1196
	75	391.50284	218.37714
	76	1356.8528	473.78473
	77	1845.8364	950.52356
	78	990.0398	309.39468
	79	75.152664	31.828465
	80	740.0184	441.1798
	81	352.61948	336.14694
	82	761.7112	467.4829
	83	1157.7394	522.29736
	84	493.21655	721.92316
	85	1127.787	427.4038
	86	130.20355	939.589
	87	147.52841	1076.3313
	88	1686.3191	332.3584
	89	621.40753	910.6771
	90	1864.575	362.47693
	91	464.95505	700.9693
	92	438.8768	182.47234
	93	1686.5898	742.22363
	94	1451.8304	250.36862
	95	1806.606	370.01392
	96	249.07642	190.82254
	97	1646.3419	312.75488
	98	516.0493	666.0045
	99	76.708374	1003.9291


End of Keyframe Data
